catalog_id,catalog,container_id,container,type_id,content_type,event_part_type
8114,congress_israel_haolami_2015,56099,2015-03-12_norav_program_congress_yeshivat-haverim-5,1,FRIENDS_GATHERING,
8114,congress_israel_haolami_2015,56100,2015-03-12_norav_program_congress_hofaa-moti-mor,1,EVENT_PART,EVENT
8114,congress_israel_haolami_2015,56092,2015-03-11_norav_program_congress_hofaa-duhin,1,EVENT_PART,EVENT
8100,congress_usa_new-jersey_2017,68868,2017-05-05_norav_congress_yeshivat-haverot,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68835,2017-05-05_norav_congress_yeshivat-haverim_n16,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68838,2017-05-05_norav_congress_yeshivat-haverim_n17,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68840,2017-05-05_norav_congress_yeshivat-haverim_n18,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68851,2017-05-05_norav_congress_yeshivat-haverim_sikum-yom-1,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68843,2017-05-05_norav_congress_yeshivat-haverim_n19,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68846,2017-05-05_norav_congress_yeshivat-haverim_n20,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68852,2017-05-07_norav_congress_yeshivat-haverim_sikum-yom-2,1,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68854,2017-05-07_norav_congress_yeshivat-haverim_n21,16,FRIENDS_GATHERING,
8100,congress_usa_new-jersey_2017,68860,2017-05-07_rav_congress_yeshivat-haverim_sikum-yom-3,16,FRIENDS_GATHERING,
4693,congress_ukraine_kharkov_2012,34424,2012-07-29_rus_rav_program_integral-social_congress-harkov-voprosi,1,VIDEO_PROGRAM_CHAPTER,
4693,congress_ukraine_kharkov_2012,35030,2012-08-17_heb_rav_program_congress_sadna-1,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35032,2012-08-17_heb_rav_program_congress_sadna-2,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35033,2012-08-17_heb_rav_program_congress_sadna-3,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35035,2012-08-17_heb_rav_program_congress_sadna-4,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35037,2012-08-17_heb_rav_program_congress_sadna-5,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35040,2012-08-17_heb_rav_program_congress_sadna-6,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35045,2012-08-17_heb_rav_program_congress_sadna-7,1,LESSON_PART,
4693,congress_ukraine_kharkov_2012,35047,2012-08-17_heb_rav_program_congress_yeshivat-haverim,1,FRIENDS_GATHERING,
4693,congress_ukraine_kharkov_2012,36064,2012-08-17_rus_rav_clip_congress_edinoe-mnenie,2,CLIP,
4693,congress_ukraine_kharkov_2012,36065,2012-08-17_rus_rav_clip_congress_kak-poniat-cho-ya-egoist,2,CLIP,
4693,congress_ukraine_kharkov_2012,36066,2012-08-17_rus_rav_clip_congress_kak-odin-chelovek,2,CLIP,
4693,congress_ukraine_kharkov_2012,36067,2012-08-17_rus_rav_clip_congress_molitva-mnogih,2,CLIP,
4693,congress_ukraine_kharkov_2012,36068,2012-08-17_rus_rav_clip_congress_istinoe-zhelanie-otdachi,2,CLIP,
4693,congress_ukraine_kharkov_2012,36069,2012-08-17_rus_rav_clip_congress_kak-vkluchitsia-v-drugih,2,CLIP,
4693,congress_ukraine_kharkov_2012,36070,2012-08-17_rus_rav_clip_congress_molitva-za-tovarishei,2,CLIP,
4693,congress_ukraine_kharkov_2012,36071,2012-08-17_rus_rav_clip_congress_poisk-budushego-sostoiania,2,CLIP,
4693,congress_ukraine_kharkov_2012,36072,2012-08-17_rus_rav_clip_congress_oshushenie-roazhdenia,2,CLIP,
4693,congress_ukraine_kharkov_2012,36073,2012-08-17_rus_rav_clip_congress_poprosit-za-vseh,2,CLIP,
4693,congress_ukraine_kharkov_2012,36088,2012-08-17_rus_rav_clip_congress_v-poiskah-pervoprichini,2,CLIP,
4693,congress_ukraine_kharkov_2012,36089,2012-08-17_rus_rav_clip_congress_universalnaia-molitva,2,CLIP,
4693,congress_ukraine_kharkov_2012,36093,2012-08-17_rus_rav_clip_congress_pravilnaia-prosba,2,CLIP,
4693,congress_ukraine_kharkov_2012,36094,2012-08-17_rus_rav_clip_congress_trepet-pered-tvortzom,2,CLIP,
4693,congress_ukraine_kharkov_2012,36417,2012-08-17_rus_rav_clip_congress_igra-tvortza,2,CLIP,
4693,congress_ukraine_kharkov_2012,36418,2012-08-17_rus_rav_clip_congress_ia-i-semia,2,CLIP,
4693,congress_ukraine_kharkov_2012,36419,2012-08-17_rus_rav_clip_congress_angeli,2,CLIP,
4693,congress_ukraine_kharkov_2012,36421,2012-08-17_rus_rav_clip_congress_igra-v-sledushee-sostoianie,2,CLIP,
4693,congress_ukraine_kharkov_2012,36422,2012-08-17_rus_rav_clip_congress_kak-pomoch-tovarishu,2,CLIP,
4693,congress_ukraine_kharkov_2012,36423,2012-08-17_rus_rav_clip_congress_kak-pomoch-tvortu,2,CLIP,
4693,congress_ukraine_kharkov_2012,36424,2012-08-17_rus_rav_clip_congress_molitsa-za-muzha,2,CLIP,
4693,congress_ukraine_kharkov_2012,36425,2012-08-17_rus_rav_clip_congress_molitva-odinochki,2,CLIP,
4693,congress_ukraine_kharkov_2012,36426,2012-08-17_rus_rav_clip_congress_pravilnoe-obedinenie,2,CLIP,
4693,congress_ukraine_kharkov_2012,36427,2012-08-17_rus_rav_clip_congress_pole-otdachi,2,CLIP,
4693,congress_ukraine_kharkov_2012,36428,2012-08-17_rus_rav_clip_congress_polnii-egoist,2,CLIP,
4693,congress_ukraine_kharkov_2012,36429,2012-08-17_rus_rav_clip_congress_obedinenie-v-kruge,2,CLIP,
4693,congress_ukraine_kharkov_2012,36430,2012-08-17_rus_rav_clip_congress_rab-naslazhdenia,2,CLIP,
4693,congress_ukraine_kharkov_2012,36431,2012-08-17_rus_rav_clip_congress_vopros-iz-razuma-ili-serdtza,2,CLIP,
4693,congress_ukraine_kharkov_2012,36432,2012-08-17_rus_rav_clip_congress_reshenie-voprosov,2,CLIP,
4693,congress_ukraine_kharkov_2012,36433,2012-08-17_rus_rav_clip_congress_zhelania-tovarishei,2,CLIP,
4693,congress_ukraine_kharkov_2012,36434,2012-08-17_rus_rav_clip_congress_zeir-anpin-i-malhut,2,CLIP,
4693,congress_ukraine_kharkov_2012,36435,2012-08-17_rus_rav_clip_congress_vishe-skorosti-sveta,2,CLIP,
4693,congress_ukraine_kharkov_2012,36436,2012-08-17_rus_rav_clip_congress_vnutrennee-ustremlrnia,2,CLIP,
4693,congress_ukraine_kharkov_2012,36437,2012-08-17_rus_rav_clip_congress_sekret-molitvi,2,CLIP,
4693,congress_ukraine_kharkov_2012,36438,2012-08-17_rus_rav_clip_congress_soprotivlenie,2,CLIP,
4693,congress_ukraine_kharkov_2012,36439,2012-08-17_rus_rav_clip_congress_soedinenie-muzhs-i-zhens-chastei,2,CLIP,
4693,congress_ukraine_kharkov_2012,36440,2012-08-17_rus_rav_clip_congress_vzaimnoe-poruchitelstvo,2,CLIP,
4693,congress_ukraine_kharkov_2012,36441,2012-08-17_rus_rav_clip_congress_pravilnoe-obrashenie-k-tvortzu,2,CLIP,
4693,congress_ukraine_kharkov_2012,36442,2012-08-17_rus_rav_clip_congress_osoznanie-zla,2,CLIP,
4693,congress_ukraine_kharkov_2012,36443,2012-08-17_rus_rav_clip_congress_samaia-prostaia-prosba,2,CLIP,
4693,congress_ukraine_kharkov_2012,36444,2012-08-17_rus_rav_clip_congress_tochnost-tzeli,2,CLIP,
8056,congress_france_2014,51030,2014-05-09_rav_program_congress_sadna-1,1,LESSON_PART,
8056,congress_france_2014,51032,2014-05-09_rav_program_congress_sadna-2,1,LESSON_PART,
8056,congress_france_2014,51036,2014-05-09_rav_program_congress_sadna-3,1,LESSON_PART,
8056,congress_france_2014,51041,2014-05-09_rav_program_congress_sadna-4,1,LESSON_PART,
8056,congress_france_2014,51042,2014-05-09_norav_program_congress_yeshivat-haverim-2,1,FRIENDS_GATHERING,
4742,congress_usa_san-francisco_2005,4204,Clip_ConferenceSciencedMeetsKabbalah_03-2005,4,LECTURE,
4742,congress_usa_san-francisco_2005,4299,ScienceMeetsKabbalah_JCC_22-03-05_1,4,LECTURE,
4742,congress_usa_san-francisco_2005,4300,ScienceMeetsKabbalah_MarriotHotel_22-03-05_1,4,LECTURE,
4742,congress_usa_san-francisco_2005,4301,ScienceMeetsKabbalah_MarriotHotel_23-03-05_1,4,LECTURE,
