catalog_id,tag_id
12,80
13,81
14,82
48,83
87,84
109,85
110,86
111,87
112,88
231,89
4152,90
4776,91
4842,124
4844,125
4845,126
4846,127
4847,128
4848,129
4849,130
4850,131
4851,132
4852,133
4853,134
4854,135
4855,136
4856,137
4858,138
4859,139
4860,140
4863,141
4868,142
6936,143
6947,144
6948,92
6959,93
6961,145
6969,146
7862,94
7870,147
7898,95
7905,96
7908,97
7912,98
7917,1
7918,2
7919,3
7920,4
7921,5
7922,6
7923,7
7924,8
7925,9
7926,10
7927,11
7928,12
7929,13
7930,14
7931,15
7932,16
7933,17
7934,18
7935,19
7936,20
7937,21
7938,22
7939,23
7940,24
7941,25
7942,26
7943,27
7944,28
7945,29
7946,30
7947,31
7948,32
7949,33
7951,34
7952,35
7953,36
7954,37
7956,38
7958,39
7960,40
7961,41
7962,42
7963,43
7964,44
7965,45
7966,46
7967,47
7968,48
7969,49
7970,50
7971,51
7972,52
7973,53
7974,54
7975,55
7976,56
7977,57
7978,58
7979,59
7980,60
7987,61
7989,62
7990,63
7991,64
7992,65
7993,66
7994,67
7996,68
7997,69
7998,70
7999,71
8000,72
8001,73
8004,74
8005,75
8006,76
8007,77
8014,78
8015,79
8069,107
8146,117
8151,120
8160,160
8161,161
8189,83
8190,83
8191,83
8192,83
8193,83
8194,83
8195,83
8196,83
8197,83
8198,83
8199,83
8200,83
8201,83
8202,83
8206,83
8207,83
8208,89
8209,89
8210,89
8211,89
8212,89
8213,89
8214,89
8215,89
8216,89
8217,89
8218,89
8219,89
8220,89
8224,89
8225,89
8226,89
8227,89
8228,82
8230,82
8231,82
8232,82
8233,82
8234,82
8235,82
8236,82
8237,82
8238,82
8239,82
8240,82
8241,82
8242,82
8243,82
8244,82
8245,87
8246,87
8247,87
8248,87
8249,87
8250,87
8251,87
8252,87
8253,87
8254,87
8255,87
8256,87
8257,87
8258,87
8259,87
8260,87
8261,87
8262,87
8263,88
8264,88
8265,88
8266,88
8267,88
8268,88
8269,88
8270,88
8271,88
8272,88
8273,88
8274,88
8275,88
8276,88
8277,88
8278,88
8279,88
8280,88
8281,86
8286,84
8287,85
8288,81
8289,90
8290,92
8291,95
8292,94
8293,93
8294,91
8295,98
8297,86
8298,86
8299,86
8300,86
8301,86
8302,86
8303,86
8304,86
8306,85
8307,90
8308,92
8309,93
8310,91
8311,98
8312,94
8313,95
