catalog.id,catalog.parent_id,containers.count,containers.ids
3674,3672,114,"{15251,15305,16017,16018,16019,16020,16109,16247,16285,16286,17015,17081,17372,17463,17503,17886,17927,18048,18123,18219,18400,18636,18637,18638,18639,18682,19132,19133,19169,19342,19743,19775,19840,19865,20059,20120,20219,20220,20222,20538,20539,20540,20541,20542,20576,20577,20667,20668,20669,20744,20745,20794,20795,20881,21069,21308,21309,21310,21441,21479,21522,21531,21554,21652,21709,21773,21864,21865,21866,22020,22021,22326,22327,22328,22680,22833,22834,22947,22948,23358,23628,24025,24111,24396,24469,24607,24651,24653,24803,25078,25108,25234,25235,25243,25371,25665,26295,26332,26348,26730,26988,27015,27019,27041,27867,27895,28030,28531,28560,28771,28782,31202,32343,61180}"
3678,3672,51,"{15266,15267,15304,15316,15317,15318,15319,15327,15329,15330,15373,15374,15375,15415,15416,15417,15418,15419,15420,15422,15423,15468,15469,15482,15485,15486,15487,15518,15519,15520,15576,15583,15584,15695,15696,15697,15757,15758,15759,15760,15761,16499,16715,16856,16977,16978,16979,16980,17260,18267,18586}"
3679,3672,50,"{15298,15299,15300,15301,15302,15303,15315,16478,16618,16647,16648,16649,16650,16651,17102,17103,17141,17142,17318,17370,17371,17389,17390,17535,17536,17537,17721,17722,17723,17761,17962,17996,18037,18038,18131,18132,18134,18171,18172,18925,18988,18989,18990,19029,19030,19031,19121,19124,19126,19128}"
3681,3672,42,"{15314,15413,15414,16034,16035,16144,16145,16146,16147,16180,17000,17045,17046,17368,17593,17666,17751,18205,18423,18456,18663,18688,18706,18710,18722,18832,18971,19050,19168,19405,19635,19636,20549,20635,20791,21078,21339,23372,23597,23598,23600,27656}"
3684,3672,55,"{15394,15395,15396,15397,16209,16210,16245,16246,16287,16294,16295,16309,16310,16311,16511,16512,16514,16694,16948,16949,16950,16982,16983,17167,17273,17322,17369,17496,17646,17647,17652,17829,17830,17910,17911,18269,18270,18271,18392,18454,18486,18487,18768,18916,18987,19032,19033,19056,19057,19058,19129,19130,19131,19142,19143}"
3685,3672,102,"{3499,7325,8602,14385,14658,14659,15398,15867,15936,15937,16105,16106,16107,16108,16148,16476,16629,16630,16705,16902,16903,17713,17720,17839,17840,17856,17857,17858,17860,17888,17913,17914,18248,18249,18316,18317,18425,18427,18430,18644,18657,18658,18815,18816,18913,18914,18955,19012,19086,19089,19127,19151,19186,19430,19464,19474,19574,19744,19745,19866,19998,19999,20621,21439,21830,22080,22124,22231,22300,22885,23521,23535,23689,24445,24706,24809,25019,27949,30736,30738,37455,52873,55081,55142,55468,55496,55511,55515,55851,55975,56229,56230,56288,56392,56576,56581,56710,56991,57405,57407,57488,57489}"
3687,3672,233,"{15454,16400,16401,16402,16565,16566,16567,16568,16569,16675,16685,16686,16687,16909,16988,17762,17763,18268,18320,18321,18420,18421,18589,18645,18646,18681,18826,19028,19512,19513,19550,19555,19712,19801,20007,20097,20124,20172,20378,20379,20575,20636,20746,20806,21189,21191,21230,21323,21556,21708,21821,21930,22045,22094,22488,22522,22952,22963,23374,23375,24270,24304,37697,37707,38685,38686,39823,39824,40436,40827,40835,40836,40886,40991,41035,41039,41044,41046,41709,41711,41880,41882,42472,42473,42579,42722,42727,43143,43431,43432,44163,44164,44720,44721,45090,46730,46731,46881,46882,46883,46884,47011,47012,47143,47144,47145,47147,47150,47151,47595,47596,47816,47817,47856,47857,48469,48596,48597,48646,48647,48648,48754,48792,48793,48831,48832,48833,48835,49290,49386,49387,49388,49457,49458,49496,49497,49498,49499,49549,49550,49911,49912,50963,50977,51059,51060,51772,51773,51821,52020,52022,52221,52231,52237,52238,52746,52747,52863,52864,52903,52905,53014,53020,53542,53543,53659,53662,53663,53664,53665,53720,53721,54149,54151,54216,54217,54241,54339,54340,54341,54847,54849,54850,54871,54880,54881,54885,54890,55747,56689,56780,56781,56782,56783,56943,57010,57138,57139,57408,57490,57491,58470,58777,59016,59204,59205,59882,60090,60125,60214,60215,60364,60365,60545,60860,61318,61382,61383,61384,62058,62059,62178,62269,62408,62410,62915,63169,63388,64663,64796,64801,65030,65205}"
3690,3672,76,"{15521,15523,15834,15836,15866,16050,16255,16345,16692,16693,16713,16891,16892,17042,17043,17044,17079,17457,17595,17598,17999,18174,18389,18422,18502,18504,18506,18540,18790,18870,18957,18996,19164,19166,19203,20176,20560,21592,21622,21832,22022,22103,22233,22464,22776,22949,23217,23289,23497,23599,23781,23830,24064,24109,24184,24287,24406,24407,24785,24998,25072,25561,25624,25864,26069,26380,27226,27367,27550,27864,27885,28862,31204,33560,36684,61071}"
3823,3672,229,"{15753,15921,16069,16070,16151,16152,16248,16296,16306,16307,16308,16346,16347,16348,16500,16570,16571,16572,16620,16738,16919,16920,16921,16984,16985,16986,16987,17288,17411,17488,17489,17490,17491,17492,17493,17494,17495,17520,17521,17522,17523,17524,17525,17526,17527,17528,17529,17530,17531,17532,17618,17619,17664,17665,17708,17754,17755,17756,17803,17887,18000,18001,18002,18003,18120,18175,18176,18318,18352,18353,18354,18355,18356,18357,18358,18359,18360,18361,18362,18363,18364,18397,18398,18399,18443,18496,18497,18498,18499,18500,18517,18518,18519,18520,18521,18522,18523,18524,18525,18578,18579,18580,18581,18582,18583,18584,18699,18700,18701,18719,18720,18721,18737,18738,18739,18740,18741,18742,18743,18764,18765,18767,18898,18899,18900,18917,19006,19007,19008,19009,19010,19011,19046,19047,19048,19049,19051,19099,19100,19101,19102,19103,19104,19105,19106,19107,19108,19109,19110,19206,19320,19321,19323,19461,19462,19463,19530,19531,19532,19573,19632,19633,19637,19672,19673,19674,19675,19676,19705,19706,19707,19709,19710,19711,19724,19725,19726,19781,19820,19821,19822,19824,19825,19826,19827,19828,19829,19858,19862,19863,19910,19911,19952,19953,19954,21595,21596,21597,21650,21651,21894,22190,22563,22564,22972,22973,23163,23164,23519,23573,23623,23624,23625,23875,23904,24006,24007,24008,24108,24182,24316,24567,24586,24784,24921,25849,25850,25851,25852}"
3828,3672,228,"{15913,15914,15915,15916,15917,15918,15919,15920,16406,16407,16408,16434,16435,16436,16437,17373,17374,17375,17441,17442,17498,17580,17581,17582,17583,17613,17614,17709,17710,17711,17820,17821,17822,17823,17824,17825,17826,17827,17901,17922,17923,17924,17925,17926,18007,18008,18009,18045,18046,18146,18147,18149,18150,18245,18429,18431,18432,18433,18463,18465,18551,18552,18553,18554,18555,18556,18557,18723,18833,18852,18853,18937,18938,18940,18973,19052,19053,19054,19055,19406,19407,19408,19409,19713,19714,19715,19729,19730,20520,20521,20522,20523,20658,20722,20756,20757,20758,20759,20796,20809,20810,20891,20892,20893,20894,20936,20937,21000,21001,21002,21003,21004,21005,21006,21007,21008,21009,21228,21229,21248,21249,21250,21251,21325,21326,21327,21328,21362,21363,21364,21366,21367,21368,21369,21796,21797,21807,21808,21939,21940,21941,21942,21943,21944,21964,21965,22125,22126,22127,22128,22246,22247,22280,22282,22414,22415,22416,22417,22575,22576,22577,26133,26134,26135,26256,26363,26364,26430,26431,26435,26437,26509,26591,26592,26593,26596,26684,26685,26687,26690,26761,26762,26793,26878,26929,26930,26931,26932,26983,26984,26985,26986,27194,27195,27196,27197,27334,27371,27372,27373,27452,27480,27481,27482,27545,27546,27547,27604,27605,27659,27662,27784,27950,28071,28073,28074,28075,28076,28404,28501,28578,28579,28602,28603,28658,28741,28781,28790}"
3830,3672,36,"{15924,15925,15926,15927,15943,15944,15945,16051,16052,16149,16150,16153,16179,16292,16293,16603,16604,16605,16606,17001,17002,17166,17287,17298,17410,17500,17501,18830,18965,19152,19473,23601,23602,23603,23606,23607}"
3831,3672,47,"{15949,15950,15951,15952,15953,16438,16439,16440,16441,16526,16528,16529,16530,16531,16607,16666,16667,16668,16669,16670,16704,17456,17504,17534,17615,17616,17714,17854,18173,18390,18391,18451,18452,18464,18503,18588,18607,18608,18609,18926,18930,18933,18935,18936,18964,19428,19692}"
3834,3672,30,"{16027,16028,16142,16143,16714,17233,17367,17404,17408,17464,17486,17487,17788,17842,17906,17907,18424,18485,18495,18683,18726,18856,19113,19410,19412,19528,19769,19861,20170,20548}"
