catalog_id,catalog_name,container_id,container_name,container.type_id,unit.id,unit.type_id,collection.id
8115,congress_israel_haolami_2016,62369,2016-02-16_rav_lesson_shiur-achana-le-kenes,4,23764,11,10179
8115,congress_israel_haolami_2016,62020,2016-01-27_rav_lesson_achana-la-kenes,4,23669,11,10163
8115,congress_israel_haolami_2016,62504,2016-02-22_rav_lesson_congress_n0,4,23800,11,10187
8115,congress_israel_haolami_2016,62444,2016-02-19_rav_lesson_shiur-achana-le-kenes,4,23778,11,10183
8115,congress_israel_haolami_2016,62277,2016-02-10_rav_lesson_shiur-achana-le-kenes,4,23746,11,10175
8115,congress_israel_haolami_2016,62474,2016-02-21_rav_lesson_rb-dargot-sulam-024-ikar-ma-haser,4,23784,11,10184
8115,congress_israel_haolami_2016,62475,2016-02-21_rav_lesson_rb-igeret-40,4,23785,11,10184
8115,congress_israel_haolami_2016,61915,2016-01-21_rav_lesson_sheelot-achana-le-kenes,4,23641,11,10158
8115,congress_israel_haolami_2016,62466,2016-02-19_rav_lesson_sadnat-achana-lekenes,4,23777,11,10183
8115,congress_israel_haolami_2016,62507,2016-02-23_rav_lesson_congress_n1,4,23794,11,10187
8115,congress_israel_haolami_2016,62468,2016-02-19_rav_lesson_rb-1989-15-tzadikim-nikarim,4,23781,11,10183
8115,congress_israel_haolami_2016,62485,2016-02-21_rav_lesson_sheelot-mikli-olami,4,23786,11,10184
8115,congress_israel_haolami_2016,62442,2016-02-18_rav_lesson_sheelot-mikli-olami,4,23776,11,10182
8115,congress_israel_haolami_2016,62305,2016-02-12_rav_lesson_shminiot-ba-kenes,4,23923,11,10215
8115,congress_israel_haolami_2016,62469,2016-02-19_rav_lesson_rb-1990-13-ihud-ashem,4,23779,11,10183
8115,congress_israel_haolami_2016,62471,2016-02-19_rav_lesson_bs-shamati-004-sibat-kvedut,4,23780,11,10183
8115,congress_israel_haolami_2016,62509,2016-02-23_rav_lesson_congress_n2,4,23795,11,10187
8115,congress_israel_haolami_2016,62511,2016-02-23_rav_lesson_congress_n3,4,23798,11,10187
8115,congress_israel_haolami_2016,62515,2016-02-24_rav_lesson_congress_n4,4,23797,11,10187
8115,congress_israel_haolami_2016,62101,2016-01-29_rav_lesson_sheelot-al-congress,4,23686,11,10165
8115,congress_israel_haolami_2016,62517,2016-02-24_rav_lesson_congress_n5,4,23796,11,10187
8115,congress_israel_haolami_2016,62100,2016-01-29_rav_lesson_diyun-al-asiriot-be-kenes,4,23679,11,10165
8115,congress_israel_haolami_2016,61736,2016-01-08_rav_lesson_sheelot-al-kenes,4,23577,11,10146
8115,congress_israel_haolami_2016,62518,2016-02-24_rav_lesson_congress_n6,4,23801,11,10187
8115,congress_israel_haolami_2016,62520,2016-02-25_rav_lesson_congress_n7,4,23793,11,10187
8115,congress_israel_haolami_2016,62522,2016-02-25_rav_lesson_congress_n8,4,23799,11,10187
8052,congress_canada_2005,3298,Al_Congress_Toronto_07-01-05,4,6530,11,2390
8052,congress_canada_2005,3303,Kongress_Toronto_09-01-05,4,6533,11,2392
8052,congress_canada_2005,3304,Kongress_Toronto_Seuda_09-01-05,4,6534,11,2392
8052,congress_canada_2005,3306,Yeshivat_Haverim_09-01-05,4,6535,11,2393
8052,congress_canada_2005,3321,Kongress_Toronto_Hitrashmuyot_11-01-05,4,6543,11,2399
8052,congress_canada_2005,3328,Kongress_Toronto_07-01-05,4,6531,11,2390
8052,congress_canada_2005,3329,Congress_Toronto_06-01-05,4,6528,11,2389
8052,congress_canada_2005,3338,Kongress_Toronto_lesson-3_09-01-05,4,6536,11,2394
8052,congress_canada_2005,3339,Kongress_Toronto-sicha_07-01-05,4,6532,11,2391
8052,congress_canada_2005,3508,Kongress_Toronto_Women_09-01-05,4,6537,11,2395
8144,congress_israel_haolami_2010-07,24083,2010-07-23_kitvey-rb-1984-01-1-matarat-hevra-1_heb_rav_lesson_congress_n1,4,14776,11,6948
8144,congress_israel_haolami_2010-07,24086,2010-07-24_xx_heb_rav_lesson_congress_n3,4,14779,11,6950
8144,congress_israel_haolami_2010-07,24095,2010-07-23_kitvey-rb-1985-01-asa-lecha-rav_heb_rav_lesson_congress_n2,4,14778,11,6949
8144,congress_israel_haolami_2010-07,24096,2010-07-25_xx_heb_rav_lesson_congress_n4,4,14780,11,6951
8144,congress_israel_haolami_2010-07,24098,2010-07-25_xx_heb_rav_lesson_congress_n5,4,14781,11,6951
8051,congress_lithuania_2014,31905,2012-03-23_heb_rav_lesson_congress_n1,4,17545,11,8137
8051,congress_lithuania_2014,31906,2012-03-23_heb_rav_lesson_congress_n2,4,17546,11,8137
8051,congress_lithuania_2014,31907,2012-03-24_heb_rav_lesson_congress_n3,4,17547,11,8138
8051,congress_lithuania_2014,31909,2012-03-24_heb_rav_lesson_congress_n4,4,17548,11,8138
8051,congress_lithuania_2014,31915,2012-03-25_heb_rav_lesson_congress_n5,4,17549,11,8139
8051,congress_lithuania_2014,31931,2012-03-26_heb_rav_lesson_sheelot-al-kenes,4,17553,11,8140
4723,congress_russia_novosibirsk_2012,37739,2012-12-07_heb_rav_lesson_congress_n1,4,18791,11,8656
4723,congress_russia_novosibirsk_2012,37741,2012-12-07_heb_rav_lesson_congress_n2,4,18792,11,8656
4723,congress_russia_novosibirsk_2012,37743,2012-12-07_heb_rav_lesson_congress_n3,4,18793,11,8657
4723,congress_russia_novosibirsk_2012,37745,2012-12-07_heb_rav_lesson_congress_n4,4,18794,11,8658
4723,congress_russia_novosibirsk_2012,37750,2012-12-07_heb_rav_lesson_congress_n5,4,18795,11,8659
4723,congress_russia_novosibirsk_2012,37753,2012-12-07_heb_rav_lesson_congress_n6,4,18796,11,8660
4723,congress_russia_novosibirsk_2012,37754,2012-12-07_heb_rav_lesson_congress_n7,4,18797,11,8661
8097,congress_usa_new-jersey_2014,52574,2014-08-08_rav_lesson_congress_n0,4,21542,11,9745
8097,congress_usa_new-jersey_2014,52118,2014-07-18_rav_lesson_achana-kenes-usa,4,21488,11,9730
8097,congress_usa_new-jersey_2014,52577,2014-08-08_rav_lesson_congress_n0-2,4,21540,11,9745
8097,congress_usa_new-jersey_2014,52578,2014-08-08_rav_lesson_congress_n1,4,21541,11,9745
8097,congress_usa_new-jersey_2014,52579,2014-08-08_rav_lesson_congress_n2,4,21543,11,9745
8097,congress_usa_new-jersey_2014,52582,2014-08-08_rav_lesson_congress_n3,4,21544,11,9745
8097,congress_usa_new-jersey_2014,52584,2014-08-08_rav_lesson_congress_n4,4,21545,11,9745
8097,congress_usa_new-jersey_2014,52590,2014-08-10_rav_lesson_congress_n5,4,21546,11,9745
8097,congress_usa_new-jersey_2014,52593,2014-08-10_rav_lesson_congress_n6,4,21547,11,9745
8099,congress_usa_new-jersey_2016,63759,2016-05-19_rav_lesson_congress_n01,4,24165,11,10261
8099,congress_usa_new-jersey_2016,63815,2016-05-23_rav_lesson_rb-dargot-sulam-024-ikar-ma-haser,4,24144,11,10254
8099,congress_usa_new-jersey_2016,63403,2016-04-21_rav_lesson_rb-1984-04-ish-et-reehu,4,24025,11,10233
8099,congress_usa_new-jersey_2016,63902,2016-05-26_rav_lesson_bs-shamati-211-ke-omed,4,24148,11,10257
8099,congress_usa_new-jersey_2016,63688,2016-05-13_rav_lesson_achana-le-kenes,4,24127,11,10250
8099,congress_usa_new-jersey_2016,63702,2016-05-15_rav_lesson_achana-le-kenes_4,4,24135,11,10251
8099,congress_usa_new-jersey_2016,63721,2016-05-16_rav_lesson_achana-le-kenes_5,4,24139,11,10252
8099,congress_usa_new-jersey_2016,63741,2016-05-18_rav_lesson_shiur-achana-le-kenes_6,4,24146,11,10255
8099,congress_usa_new-jersey_2016,63742,2016-05-18_rav_lesson_shiur-achana-le-kenes_7,4,24145,11,10255
8099,congress_usa_new-jersey_2016,63768,2016-05-20_rav_lesson_congress_n02,4,24168,11,10261
8099,congress_usa_new-jersey_2016,63772,2016-05-20_rav_lesson_congress_n1,4,24169,11,10261
