Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,38,ARTICLE,Igeret 37,,rb-igeret-37,Letter 37,,"אגרת ל""ז",,Письмо 37,,Brief 37,,Carta 37,,Mektup 37,,Лист 37,
1,39,ARTICLE,Igeret 38-1,,rb-igeret-38,Letter 38-1,,"אגרת ל""ח/א",,Письмо 38-1,,Brief 38-1,,Carta 38-1,,Mektup 38-1,,Лист 38-1,
1,40,ARTICLE,Igeret 38-2,,rb-igeret-38-2,Letter 38-2,,"אגרת ל""ח/ב",,Письмо 38-2,,Brief 38-2,,Carta 38-2,,Mektup 38-2,,Лист 38-2,
1,41,ARTICLE,Igeret 39,,rb-igeret-39,Letter 39,,"אגרת ל""ט",,Письмо 39,,Brief 39,,Carta 39,,Mektup 39,,Лист 39,
1,42,ARTICLE,Igeret 40,,rb-igeret-40,Letter 40,,אגרת מ',,Письмо 40,,Brief 40,,Carta 40,,Mektup 40,,Лист 40,
1,43,ARTICLE,Igeret 41,,rb-igeret-41,Letter 41,,"אגרת מ""א",,Письмо 41,,Brief 41,,Carta 41,,Mektup 41,,Лист 41,
1,44,ARTICLE,Igeret 42,,rb-igeret-42,Letter 42,,"אגרת מ""ב",,Письмо 42,,Brief 42,,Carta 42,,Mektup 42,,Лист 42,
1,45,ARTICLE,Igeret 43,,rb-igeret-43,Letter 43,,"אגרת מ""ג",,Письмо 43,,Brief 43,,Carta 43,,Mektup 43,,Лист 43,
1,46,ARTICLE,Igeret 44,,rb-igeret-44,Letter 44,,"אגרת מ""ד",,Письмо 44,,Brief 44,,Carta 44,,Mektup 44,,Лист 44,
1,47,ARTICLE,Igeret 45,,rb-igeret-45,Letter 45,,"אגרת מ""ה",,Письмо 45,,Brief 45,,Carta 45,,Mektup 45,,Лист 45,
1,48,ARTICLE,Igeret 46,,rb-igeret-46,Letter 46,,"אגרת מ""ו",,Письмо 46,,Brief 46,,Carta 46,,Mektup 46,,Лист 46,
1,49,ARTICLE,Igeret 47,,rb-igeret-47,Letter 47,,"אגרת מ""ז",,Письмо 47,,Brief 47,,Carta 47,,Mektup 47,,Лист 47,
