Level,Position,Type,Name,Description,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
1,,ARTICLE,Akdama Le Maamarim,,rb-akdama-le-maamarim,,,הקדמה למאמרים,,,,,,Introducción a escritos,,,,,
1,,ARTICLE,Akdama Le Igrot,,rb-akdama-le-igrot,Introduction to the book Pri Haham. Letters,,הקדמה לאגרות,,Предисловие к Письмам,,,,Introducción al libro Fruto del Sabio (Pri Jajam),,,,"Передмова до книги ""Плоди мудрості. Листи""",
